LLM model,VLM model,Task,Case study,Trial,Prompt,Success,LLM mem. (GB) - file size (Q4 weights),VLM mem. (GB) - file size (Q4 weights),LLM mem. (GB) - runtime RAM,VLM mem. (GB) - runtime RAM,LLM latency (s),VLM latency (s)
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Single,1,pick the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Single,2,grab the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Single,3,pick up the yellow dice not the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Single,4,can you pick up the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Single,5,I need you to pick the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Multiple,1,pick the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Multiple,2,grab the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Multiple,3,pick up the yellow dice not the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Multiple,4,can you pick up the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Multiple,5,I need you to pick the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Overlapped,1,pick the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Overlapped,2,grab the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Overlapped,3,pick up the yellow dice not the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Overlapped,4,can you pick up the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Pick,Overlapped,5,I need you to pick the yellow dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Single,1,place it to the left of the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Single,2,put it to the right of the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Single,3,place it above the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Single,4,place it below the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Single,5,put it right side of the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Multiple,1,place it to the left of the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Multiple,2,put it to the right of the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Multiple,3,place it above the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Multiple,4,place it below the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Multiple,5,put it right side of the red dice,,,,,,,
LLaMA 3.1 8B (Jetson),Qwen2.5-VL 32B,Place,Overlapped,1,place it to the left of the red dice,,,,,,,
